Uid,time correct attempt Q1
ctf,23/05/2021 22:59:39
Uid,time wrong attempt Q2,answer
ctf,23/05/2021 22:59:45,as
Uid,time correct attempt Q2
ctf,23/05/2021 22:59:53
Uid,time correct attempt Q3
ctf,23/05/2021 22:59:59
Uid,time correct attempt Q4
ctf,23/05/2021 23:00:05
Uid,time correct attempt Q1
ctf,23/05/2021 23:00:20
Uid,time correct attempt Q2
ctf,23/05/2021 23:00:23
Uid,time correct attempt Q3
ctf,23/05/2021 23:00:31
Uid,time correct attempt Q4
ctf,23/05/2021 23:00:41
Uid,time wrong attempt Q5,answer
ctf,23/05/2021 23:01:25,4
Uid,time wrong attempt Q5,answer
ctf,23/05/2021 23:01:28,2
Uid,time wrong attempt Q1,answer
ctf,23/05/2021 23:01:43,2
Uid,time wrong attempt Q1,answer
ctf,23/05/2021 23:01:45,1
Uid,time correct attempt Q1
ctf,23/05/2021 23:01:49
Uid,time wrong attempt Q2,answer
ctf,23/05/2021 23:01:52,er
Uid,time correct attempt Q2
ctf,23/05/2021 23:01:57
Uid,time wrong attempt Q3,answer
ctf,23/05/2021 23:02:02,r
Uid,time correct attempt Q3
ctf,23/05/2021 23:02:08
Uid,time correct attempt Q4
ctf,23/05/2021 23:02:11
Uid,time correct attempt Q1
ctf,23/05/2021 23:03:36
Uid,time correct attempt Q2
ctf,23/05/2021 23:03:42
Uid,time correct attempt Q3
ctf,23/05/2021 23:03:47
Uid,time wrong attempt Q4,answer
ctf,23/05/2021 23:03:50,4
Uid,time wrong attempt Q4,answer
ctf,23/05/2021 23:03:56,50
Uid,time correct attempt Q4
ctf,23/05/2021 23:04:02
Uid,time wrong attempt Q5,answer
ctf,23/05/2021 23:04:07,2
Uid,time wrong attempt Q5,answer
ctf,23/05/2021 23:04:09,21
Uid,time wrong attempt Q5,answer
ctf,23/05/2021 23:04:11,311
Uid,time wrong attempt Q5,answer
ctf,23/05/2021 23:04:14,312
Uid,time wrong attempt Q5,answer
ctf,23/05/2021 23:04:15,2
Uid,time wrong attempt Q1,answer
pratyush@,23/05/2021 23:04:30,e
Uid,time wrong attempt Q1,answer
ctf,23/05/2021 23:42:55,
Uid,time wrong attempt Q1,answer
ctf,23/05/2021 23:42:56,
Uid,time wrong attempt Q1,answer
ctf,23/05/2021 23:42:57,
Uid,time wrong attempt Q1,answer
ctf,23/05/2021 23:42:57,
Uid,time wrong attempt Q1,answer
ctf,23/05/2021 23:42:59,
Uid,time wrong attempt Q1,answer
ctf,23/05/2021 23:43:44,
Uid,time wrong attempt Q1,answer
ctf,23/05/2021 23:43:45,
Uid,time wrong attempt Q1,answer
ctf,23/05/2021 23:43:46,
Uid,time wrong attempt Q1,answer
ctf,23/05/2021 23:43:46,
Uid,time wrong attempt Q1,answer
ctf,23/05/2021 23:43:46,
Uid,time wrong attempt Q1,answer
ctf,23/05/2021 23:52:32,
Uid,time wrong attempt Q1,answer
ctf,23/05/2021 23:52:33,
Uid,time wrong attempt Q1,answer
ctf,23/05/2021 23:52:33,
Uid,time wrong attempt Q1,answer
ctf,23/05/2021 23:52:33,
Uid,time wrong attempt Q1,answer
ctf,23/05/2021 23:52:34,
Uid,time wrong attempt Q1,answer
ctf,24/05/2021 01:15:39,
Uid,time wrong attempt Q1,answer
ctf,24/05/2021 01:15:39,
Uid,time wrong attempt Q1,answer
ctf,24/05/2021 01:15:39,
Uid,time wrong attempt Q1,answer
ctf,24/05/2021 01:15:40,
Uid,time wrong attempt Q1,answer
ctf,24/05/2021 01:15:41,
Uid,time wrong attempt Q1,answer
ctf1,24/05/2021 01:15:56,
Uid,time wrong attempt Q1,answer
ctf1,24/05/2021 01:15:56,
Uid,time wrong attempt Q1,answer
ctf1,24/05/2021 01:15:56,
Uid,time wrong attempt Q1,answer
ctf1,24/05/2021 01:15:57,
Uid,time wrong attempt Q1,answer
ctf1,24/05/2021 01:15:57,
